id_campeonato,nombre_campeonato,nombre_torneo
1,Rolf Hoppe 2017,Escolar Atlético Francés
8,Primera Fecha 2017,Grand Prix de Atletismo Escolar UC
9,Segunda Fecha 2017,Grand Prix de Atletismo Escolar UC
10,Tercera Fecha 2017,Grand Prix de Atletismo Escolar UC
11,Cuarta Fecha 2017,Grand Prix de Atletismo Escolar UC
12,Octogonal Final 2017,Grand Prix de Atletismo Escolar UC
13,Metropolitano U20 2017,Metropolitano U20
14,Futuro Preparatorio 2017,Futuro Preparatorio
15,Metropolitano U18 2017,Metropolitano U18
18,CSB 2017,Copa San Benito
19,Futuro Final 2017,Futuro Final
20,Día del Niño 2017,Día del Niño
23,"Copa San Anselmo ""María Gracia Varas"" 2017","Copa San Anselmo ""María Gracia Varas"""
24,Mixto Final 2017,Escolar Atlético Francés
25,Nacional de Menores y Cadetes 2017,Nacional de Menores y Cadetes
26,New Balance Finals 2017,New Balance Finals
27,2018,Metropolitano de Cross Country
28,USACH 2018,Todo Competidor AARM
29,Rolf Hoppe 2018,Escolar Atlético Francés
30,Primera Fecha 2018,Grand Prix de Atletismo Escolar UC
31,Segunda Fecha 2018,Grand Prix de Atletismo Escolar UC
32,San Ignacio 2018,Todo Competidor AARM
33,Tercera Fecha 2018,Grand Prix de Atletismo Escolar UC
34,Cuarta Fecha 2018,Grand Prix de Atletismo Escolar UC
35,Octogonal Final 2018,Grand Prix de Atletismo Escolar UC
36,Mixto Final 2018,Escolar Atlético Francés
37,Futuro Preparatorio 2018,Futuro Preparatorio
38,Futuro Final 2018,Futuro Final
39,Día del Niño 2018,Día del Niño
40,Metropolitano U18 2018,Metropolitano U18
41,La Pintana 2018,Todo Competidor AARM
42,Carabineros 2018,Todo Competidor AARM
43,Ejercito 2018,Todo Competidor AARM
44,Atlético Francés 2018,Todo Competidor AARM
45,Puente Alto 2018,Todo Competidor AARM
46,Escuela Militar 2018,Todo Competidor AARM
50,U. de Chile 2018,Todo Competidor AARM
51,YKA 2018,Todo Competidor AARM
52,Metropolitano U20 2018,Metropolitano U20
53,Carlos Strutz 2018,Todo Competidor AARM
55,Grand Prix Sudamericano CDUC  2018,Grand Prix Sudamericano CDUC
57,Copa Villa María 2018,Copa Villa María
58,Festival de Carreras Colegios Municipalizados 2018,Festival de Carreras Colegios Municipalizados
59,CSB 2018,Copa San Benito
61,"Copa San Anselmo ""María Gracia Varas"" 2018","Copa San Anselmo ""María Gracia Varas"""
63,Copa Santa Úrsula 2018,Copa Santa Úrsula
64,Copa Padre Hurtado de Chillán 2018,Copa Padre Hurtado de Chillán
65,Copa Everest 2018,Copa Everest
66,Velocidad y Saltos 2018,Meeting UC
69,CODEFEN 2018,Campeonato de Atletismo Interescuelas Matrices - CODEFEN
70,Perú 2018,Iberoamericano
71,Cuarta Fecha 2018,Copa Atletismo Escolar RM
72,Quinta Fecha 2018,Copa Atletismo Escolar RM
73,Copa La Cruz 2018,Copa La Cruz
74,Selectivo Final JJAA 2018,Región de Los Rios
76,Ciudad de Concepción 2018,Escolar Mixto
77,New Balance Finals 2018,New Balance Finals
78,Karsten Brodersen 2018,Karsten Brodersen
80,Escolar Nahuén 2018,Escolar Nahuén
81,Nacional Master 2018,Nacional Master
84,Meeting Kia para Padres 2018,Meeting Kia para Padres
85,Sexta Fecha 2018,Copa Atletismo Escolar RM
87,Segunda Fecha 2018,Copa Atletismo Escolar - Coquimbo
92,2019,Metropolitano de Cross Country
93,Futuro Preparatorio 2019,Futuro Preparatorio
94,Día del Niño 2019,Día del Niño
95,Futuro Final 2019,Futuro Final
96,Rolf Hoppe 2019,Escolar Atlético Francés
97,Mixto Final 2019,Escolar Atlético Francés
98,New Balance Finals 2019,New Balance Finals
99,Primera fecha 2019,Grand Prix de Atletismo Escolar UC
100,Segunda Fecha 2019,Grand Prix de Atletismo Escolar UC
101,Tercera Fecha 2019,Grand Prix de Atletismo Escolar UC
102,Cuarta Fecha 2019,Grand Prix de Atletismo Escolar UC
103,Octogonal Final 2019,Grand Prix de Atletismo Escolar UC
108,"Saltos, Medio Fondo y Fondo 2019",Región de Los Rios
111,Metropolitano U20 2019,Metropolitano U20
113,Harambeé/ N. Carvajal 2019,Todo Competidor AARM
126,Selectivo Binacionales RM 2019,Selectivo Binacionales RM
129,Ejercito 2019,Todo Competidor AARM
130,Puente Alto 2019,Todo Competidor AARM
131,Carabineros 2019,Todo Competidor AARM
133,Metropolitano U18 2019,Metropolitano U18
135,Atlético Francés 2019,Todo Competidor AARM
138,Carlos Strutz 2019,Todo Competidor AARM
145,Regional de Lanzamientos 2019,Región de Los Rios
146,Regional de Velocidad y Vallas 2019,Región de Los Rios
147,Velocidad y Saltos 2019,Meeting Club Manquehue
148,Control de Lanzamientos 2019,Región de Los Rios
149,Torneo Ovidio Gajardo Gajardo 2019,Torneo Ovidio Gajardo Gajardo
151,Oassi/ Estudiantes 2019,Todo Competidor AARM
153,Copa Maitenes 2019,Copa Maitenes
154,Primera Fecha 2019,Copa Atletismo Escolar RM
155,2019,Control Evaluativo Fedachi
156,Campeonato Atlético Junior 2019,Campeonato Atlético Junior
157,Campeonato Atlético Senior 2019,Campeonato Atlético Senior
158,Segunda Fecha 2019,Copa Atletismo Escolar RM
159,Copa Instituto Inglés de Rancagua 2019,Copa Instituto Inglés de Rancagua
160,Primera Fecha 2019,Copa Atletismo Escolar - Rancagua
161,Selectivo Oficial JJAA 2019,Región de Los Rios
162,1º Torneo Asociación Atlética 2019,Región de Coquimbo
163,Tercera Fecha 2019,Copa Atletismo Escolar RM
164,Mayor Cup 2019,Mayor Cup
165,Copa Villa María 2019,Copa Villa María
166,Primera Fecha 2019,Juegos Deportivos Escolares - RM
167,Segunda Fecha 2019,Juegos Deportivos Escolares - RM
168,Tercera Fecha 2019,Juegos Deportivos Escolares - RM
169,2º Selectivo JJAA 2019,Región de Los Rios
170,"Copa San Anselmo ""María Gracia Varas"" 2019","Copa San Anselmo ""María Gracia Varas"""
171,Control Evaluativo UC 2019,Control Evaluativo UC
172,Copa Santa Úrsula 2019,Copa Santa Úrsula
173,Torneo Atlético Ciudad de La Serena 2019,Torneo Atlético Ciudad de La Serena
174,Escuela Militar 2019,Todo Competidor AARM
175,Copa Padre Hurtado de Chillán 2019,Copa Padre Hurtado de Chillán
176,Cuarta Fecha 2019,Copa Atletismo Escolar RM
